state_code,State,tax_rate,,,,
HI,Hawaii,0.28%,,,,
AL,Alabama,0.41%,,,,
CO,Colorado,0.51%,,,,
LA,Louisiana,0.55%,,,,
DC,District of Columbia,0.56%,,,,
SC,South Carolina,0.57%,,,,
DE,Delaware,0.57%,,,,
WV,West Virginia,0.58%,,,,
NV,Nevada,0.60%,,,,
WY,Wyoming,0.61%,,,,
AR,Arkansas,0.62%,,,,
UT,Utah,0.63%,,,,
AZ,Arizona,0.66%,,,,
ID,Idaho,0.69%,,,,
TN,Tennessee,0.71%,,,,
CA,California,0.76%,,,,
NM,New Mexico,0.80%,,,,
MS,Mississippi,0.81%,,,,
VA,Virginia,0.82%,,,,
MT,Montana,0.84%,,,,
NC,North Carolina,0.84%,,,,
IN,Indiana,0.85%,,,,
KY,Kentucky,0.86%,,,,
FL,Florida,0.89%,,,,
OK,Oklahoma,0.90%,,,,
GA,Georgia,0.92%,,,,
MO,Missouri,0.97%,,,,
OR,Oregon,0.97%,,,,
ND,North Dakota,0.98%,,,,
WA,Washington,0.98%,,,,
MD,Maryland,1.09%,,,,
MN,Minnesota,1.12%,,,,
AK,Alaska,1.19%,,,,
MA,Massachusetts,1.23%,,,,
SD,South Dakota,1.31%,,,,
ME,Maine,1.36%,,,,
KS,Kansas,1.41%,,,,
MI,Michigan,1.54%,,,,
OH,Ohio,1.56%,,,,
IA,Iowa,1.57%,,,,
PA,Pennsylvania,1.58%,,,,
RI,Rhode Island,1.63%,,,,
NY,New York,1.72%,,,,
NE,Nebraska,1.73%,,,,
TX,Texas,1.80%,,,,
WI,Wisconsin,1.85%,,,,
VT,Vermont,1.90%,,,,
CT,Connecticut,2.14%,,,,
NH,New Hampshire,2.18%,,,,
IL,Illinois,2.27%,,,,
NJ,New Jersey,2.49%,,,,
